No,Tanggal,Hari,Bulan,Kuartal,Tahun,Shift,Area_Kerja,Supervisor_ID,Jenis_Pekerjaan,Jenis_Insiden,Near_Miss,First_Aid,Medical_Treatment,LTI,Fatality,Hari_Hilang_Kerja,Property_Damage,Jumlah_Tenaga_Kerja,Jam_Kerja,Kondisi_Cuaca,Penyebab_Utama,Tindakan_Korektif,Status_Tindakan,Lokasi_Spesifik,Catatan
403,2023-06-25,Sunday,6,Q2,2023,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-018,Survei,First Aid,0,1,0,0,0,0,0,32,409.4,Cerah,Desain/Engineering,Revisi Prosedur,Selesai,Pit-B-Blok03,
404,2022-10-03,Monday,10,Q4,2022,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-018,Fueling,Near Miss,1,0,0,0,0,0,0,43,486.4,Hujan Lebat,Prosedur Tidak Diikuti,Investigasi Lanjut,Dalam Proses,Pit-C-Blok02,
405,2023-12-25,Monday,12,Q4,2023,Shift 1 (07:00-19:00),Workshop,SPV-002,Blasting,Near Miss,1,0,0,0,0,0,0,40,408.2,Hujan Lebat,Kelelahan Pekerja,Investigasi Lanjut,Dalam Proses,Worksh-Blok04,
406,2022-08-17,Wednesday,8,Q3,2022,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-002,Fueling,Near Miss,1,0,0,0,0,0,0,30,363.3,Hujan Ringan,Faktor Eksternal,Perbaikan Desain,Dalam Proses,Pit-B-Blok05,
407,2023-01-02,Monday,1,Q1,2023,Shift 2 (19:00-07:00),Stockpile,SPV-018,Pumping,Near Miss,1,0,0,0,0,0,0,44,576.4,Cerah,Housekeeping Buruk,Revisi Prosedur,Selesai,Stockp-Blok01,
408,2022-09-01,Thursday,9,Q3,2022,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-015,Fueling,Near Miss,1,0,0,0,0,0,0,34,3600,Berkabut,Kondisi Cuaca Buruk,Revisi Prosedur,Selesai,Pit-C-Blok03,
409,2024-01-17,Wednesday,1,Q1,2024,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-019,Hauling,Near Miss,1,0,0,0,0,0,0,11,139.8,Cerah,Prosedur Tidak Diikuti,Revisi Prosedur,Selesai,ROM (R-Blok01,
410,2024-09-07,Saturday,9,Q3,2024,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-013,Administrasi,Near Miss,1,0,0,0,0,0,0,27,302.1,Berkabut,Alat Pelindung Diri Tidak Sesuai,Investigasi Lanjut,Selesai,Pit-C-Blok02,Sudah dilaporkan ke HSE Manager
411,2022-02-15,Tuesday,2,Q1,2022,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-005,Fueling,First Aid,0,1,0,0,0,0,0,18,197.4,Cerah,Human Error,Perbaikan Alat,Dalam Proses,Pit-A-Blok01,Sudah dilaporkan ke HSE Manager
412,2024-09-14,Saturday,9,Q3,2024,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-016,Hauling,Near Miss,1,0,0,0,0,0,0,23,244.1,Hujan Ringan,Housekeeping Buruk,Penggantian APD,Selesai,Pit-B-Blok04,Sudah dilaporkan ke HSE Manager
413,2024-10-06,Sunday,10,Q4,2024,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-019,Loading,First Aid,0,1,0,0,0,0,0,25,291.9,Berawan,Prosedur Tidak Diikuti,Penggantian APD,Belum Dimulai,Pit-C-Blok02,
414,2023-09-27,Wednesday,9,Q3,2023,Shift 1 (07:00-19:00),Stockpile,SPV-019,Loading,Near Miss,1,0,0,0,0,0,0,43,424.5,Berkabut,Kondisi Cuaca Buruk,Investigasi Lanjut,Dalam Proses,Stockp-Blok05,Investigasi selesai
415,2022-07-20,Wednesday,7,Q3,2022,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-010,Pumping,Near Miss,1,0,0,0,0,0,0,43,530.2,Hujan Ringan,Alat Pelindung Diri Tidak Sesuai,Penggantian APD,Selesai,Pit-C-Blok04,Perlu tindak lanjut
416,2022-08-31,Wednesday,8,Q3,2022,Shift 2 (19:00-07:00),Stockpile,SPV-013,Blasting,Medical Treatment,0,0,1,0,0,0,0,15,160.5,Hujan Lebat,Desain/Engineering,Investigasi Lanjut,Dalam Proses,Stockp-Blok02,
417,2023-08-11,Friday,8,Q3,2023,Shift 1 (07:00-19:00),Stockpile,SPV-001,Administrasi,Near Miss,1,0,0,0,0,0,0,30,378.8,Berkabut,Housekeeping Buruk,Investigasi Lanjut,Belum Dimulai,Stockp-Blok03,Investigasi selesai
418,2022-09-23,Friday,9,Q3,2022,Shift 2 (19:00-07:00),Stockpile,SPV-003,Hauling,Medical Treatment,0,0,1,0,0,0,0,45,451.4,Hujan Lebat,Komunikasi Buruk,Penggantian APD,Selesai,Stockp-Blok01,Investigasi selesai
419,2022-01-14,Friday,1,Q1,2022,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-009,Administrasi,Environmental Spill,0,0,0,0,0,0,0,34,441,Cerah,Desain/Engineering,Perbaikan Desain,Selesai,Pit-A-Blok01,Perlu tindak lanjut
420,2022-06-27,Monday,6,Q2,2022,Shift 1 (07:00-19:00),Office Area,SPV-014,Hauling,Near Miss,1,0,0,0,0,0,0,13,151.5,Berawan,Prosedur Tidak Diikuti,Perbaikan Desain,Belum Dimulai,Office-Blok01,Sudah dilaporkan ke HSE Manager
421,2023-10-26,Thursday,10,Q4,2023,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-005,Drilling,Lost Time Injury,0,0,0,1,0,13,0,35,388.9,Cerah,Peralatan Rusak,Briefing Safety,Selesai,Pit-B-Blok04,Perlu tindak lanjut
422,2024-09-19,Thursday,9,Q3,2024,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-013,Survei,Near Miss,1,0,0,0,0,0,0,31,398.4,Cerah,Housekeeping Buruk,Revisi Prosedur,Overdue,Pit-A-Blok05,
423,2023-08-03,Thursday,8,Q3,2023,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-015,Drilling,Property Damage,0,0,0,0,0,0,1,19,223.9,Berawan,Desain/Engineering,Briefing Safety,Selesai,Pit-A-Blok03,
424,2022-08-20,Saturday,8,Q3,2022,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-004,Fueling,Near Miss,1,0,0,0,0,0,0,28,342.2,Cerah,Human Error,Revisi Prosedur,Dalam Proses,Pit-C-Blok05,
425,2023-06-13,Tuesday,6,Q2,2023,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-011,Drilling,Near Miss,1,0,0,0,0,0,0,16,168.4,Cerah,Alat Pelindung Diri Tidak Sesuai,Revisi Prosedur,Selesai,Pit-A-Blok05,Sudah dilaporkan ke HSE Manager
426,2024-01-20,Saturday,1,Q1,2024,Shift 1 (07:00-19:00),Workshop,SPV-017,Pengawasan,Near Miss,1,0,0,0,0,0,0,40,453.6,Hujan Ringan,Kondisi Cuaca Buruk,Pelatihan Ulang,Selesai,Worksh-Blok03,
427,2022-02-01,Tuesday,2,Q1,2022,Shift 2 (19:00-07:00),Workshop,SPV-011,Maintenance,Medical Treatment,0,0,1,0,0,0,0,23,250.8,Cerah,Faktor Eksternal,Briefing Safety,Selesai,Worksh-Blok04,Perlu tindak lanjut
428,2024-07-06,Saturday,7,Q3,2024,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-012,Hauling,Lost Time Injury,0,0,0,1,0,12,0,28,311.1,Cerah,Desain/Engineering,Perbaikan Desain,Belum Dimulai,ROM (R-Blok01,
429,2022-06-28,Tuesday,6,Q2,2022,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-010,Administrasi,Near Miss,1,0,0,0,0,0,0,30,302,Cerah,Desain/Engineering,Investigasi Lanjut,Overdue,Pit-A-Blok04,Investigasi selesai
430,2022-07-12,Tuesday,7,Q3,2022,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-010,Dozing,Near Miss,1,0,0,0,0,0,0,8,102.3,Hujan Ringan,Prosedur Tidak Diikuti,Penggantian APD,Dalam Proses,ROM (R-Blok05,Perlu tindak lanjut
431,2024-12-03,Tuesday,12,Q4,2024,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-008,Loading,First Aid,0,1,0,0,0,0,0,23,231.4,Cerah,Human Error,Perbaikan Alat,Dalam Proses,Pit-C-Blok01,
432,2022-09-26,Monday,9,Q3,2022,Shift 2 (19:00-07:00),Office Area,SPV-009,Pengawasan,Near Miss,1,0,0,0,0,0,0,42,487.8,Berawan,Komunikasi Buruk,Revisi Prosedur,Selesai,Office-Blok05,
433,2023-12-18,Monday,12,Q4,2023,Shift 2 (19:00-07:00),Workshop,SPV-009,Fueling,First Aid,0,1,0,0,0,0,0,15,162.9,Hujan Ringan,Prosedur Tidak Diikuti,Revisi Prosedur,Selesai,Worksh-Blok04,Perlu tindak lanjut
434,2024-11-16,Saturday,11,Q4,2024,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-004,Survei,Near Miss,1,0,0,0,0,0,0,25,287,Cerah,Human Error,Briefing Safety,Selesai,Pit-B-Blok01,Sudah dilaporkan ke HSE Manager
435,2023-06-11,Sunday,6,Q2,2023,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-001,Survei,First Aid,0,1,0,0,0,0,0,10,109,Berkabut,Human Error,Investigasi Lanjut,Selesai,Pit-A-Blok04,Menunggu spare part
436,2023-04-24,Monday,4,Q2,2023,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-013,Pengawasan,Near Miss,1,0,0,0,0,0,0,37,393.3,Berawan,Housekeeping Buruk,Investigasi Lanjut,Dalam Proses,Pit-B-Blok03,Investigasi selesai
437,2023-03-11,Saturday,3,Q1,2023,Malam,Pit-C (Hauling),SPV-007,Dozing,Lost Time Injury,0,0,0,1,0,7,0,36,412.3,Cerah,Faktor Eksternal,Investigasi Lanjut,Selesai,Pit-C-Blok03,
438,2024-06-13,Thursday,6,Q2,2024,Shift 2 (19:00-07:00),Stockpile,SPV-006,Pengawasan,First Aid,0,1,0,0,0,0,0,14,180.2,Hujan Lebat,Human Error,Investigasi Lanjut,Selesai,Stockp-Blok04,Perlu tindak lanjut
439,2022-12-18,Sunday,12,Q4,2022,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-016,Grading,Medical Treatment,0,0,1,0,0,0,0,18,226.5,Cerah,Kondisi Cuaca Buruk,Pelatihan Ulang,Dalam Proses,Pit-C-Blok01,Perlu tindak lanjut
440,2022-04-09,Saturday,4,Q2,2022,Shift 2 (19:00-07:00),Drainase,SPV-008,Maintenance,Lost Time Injury,0,0,0,1,0,12,0,18,208.8,Berkabut,Housekeeping Buruk,Perbaikan Alat,Dalam Proses,Draina-Blok03,
441,2023-04-07,Friday,4,Q2,2023,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-006,Blasting,Medical Treatment,0,0,1,0,0,0,0,11,128.9,Berkabut,Alat Pelindung Diri Tidak Sesuai,Pelatihan Ulang,Selesai,Pit-A-Blok02,
442,2023-08-25,Friday,8,Q3,2023,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-002,Survei,Near Miss,1,0,0,0,0,0,0,20,243.2,Berawan,Prosedur Tidak Diikuti,Briefing Safety,Belum Dimulai,Pit-A-Blok05,
443,2022-02-18,Friday,2,Q1,2022,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-014,Dozing,Near Miss,1,0,0,0,0,0,0,27,332.2,Cerah,Peralatan Rusak,Revisi Prosedur,Selesai,Pit-B-Blok04,
444,2024-07-05,Friday,7,Q3,2024,Shift 2 (19:00-07:00),Office Area,SPV-003,Hauling,First Aid,0,1,0,0,0,0,0,9,98.2,Cerah,Human Error,Perbaikan Desain,Selesai,Office-Blok01,Perlu tindak lanjut
445,2024-10-27,Sunday,10,Q4,2024,Shift 1 (07:00-19:00),Workshop,SPV-006,Loading,Near Miss,1,0,0,0,0,0,0,20,-0.5,Hujan Ringan,Kondisi Cuaca Buruk,Perbaikan Desain,Selesai,Worksh-Blok04,
446,2024-08-05,Monday,8,Q3,2024,Shift 1 (07:00-19:00),ROM (Run of Mine),SPV-015,Loading,Near Miss,1,0,0,0,0,0,0,26,336.7,Cerah,Desain/Engineering,Penggantian APD,Selesai,ROM (R-Blok01,Sudah dilaporkan ke HSE Manager
447,2022-03-11,Friday,3,Q1,2022,Shift 2 (19:00-07:00),ROM,SPV-012,Hauling,Near Miss,1,0,0,0,0,0,0,41,421.5,Hujan Lebat,Human Error,Revisi Prosedur,Selesai,Stockp-Blok02,Sudah dilaporkan ke HSE Manager
448,2024-09-28,Saturday,9,Q3,2024,Shift 2 (19:00-07:00),Workshop,SPV-009,Pengawasan,First Aid,0,1,0,0,0,0,0,45,513.2,Hujan Ringan,Human Error,Revisi Prosedur,Selesai,Worksh-Blok03,Investigasi selesai
449,2022-05-09,Monday,5,Q2,2022,Shift 2 (19:00-07:00),Drainase,SPV-009,Blasting,Medical Treatment,0,0,1,0,0,0,0,42,458.3,Berawan,Faktor Eksternal,Perbaikan Alat,Selesai,Draina-Blok05,
450,2022-04-15,Friday,4,Q2,2022,Shift 2 (19:00-07:00),Drainase,SPV-012,Hauling,First Aid,0,1,0,0,0,0,0,41,424.7,Hujan Ringan,Prosedur Tidak Diikuti,Investigasi Lanjut,Dalam Proses,Draina-Blok02,
451,2024-04-09,Tuesday,4,Q2,2024,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-008,Pengawasan,First Aid,0,1,0,0,0,0,0,31,363.3,Berawan,Desain/Engineering,Revisi Prosedur,Overdue,Pit-C-Blok03,Perlu tindak lanjut
452,2022-10-04,Tuesday,10,Q4,2022,Shift 2 (19:00-07:00),Workshop,SPV-015,Survei,Near Miss,1,0,0,0,0,0,0,34,336.8,Berawan,Human Error,Investigasi Lanjut,Selesai,Worksh-Blok01,
453,2023-07-04,Tuesday,7,Q3,2023,Shift 1 (07:00-19:00),Drainase,SPV-013,Pumping,Property Damage,0,0,0,0,0,0,1,20,239.7,Cerah,Housekeeping Buruk,Perbaikan Alat,Selesai,Draina-Blok04,
454,2023-05-23,Tuesday,5,Q2,2023,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-005,Dozing,First Aid,0,1,0,0,0,0,0,23,283.8,Cerah,Peralatan Rusak,Perbaikan Alat,Selesai,Pit-C-Blok01,
455,2024-05-24,Friday,5,Q2,2024,Shift 1 (07:00-19:00),ROM (Run of Mine),SPV-012,Hauling,Near Miss,1,0,0,0,0,0,0,20,255.1,Cerah,Prosedur Tidak Diikuti,Pelatihan Ulang,Dalam Proses,ROM (R-Blok01,Investigasi selesai
456,2022-11-14,Monday,11,Q4,2022,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-013,Pumping,First Aid,0,1,0,0,0,0,0,14,152,Cerah,Alat Pelindung Diri Tidak Sesuai,Briefing Safety,Selesai,Pit-A-Blok04,
457,2024-01-07,Sunday,1,Q1,2024,Shift 2 (19:00-07:00),Workshop,SPV-007,Dozing,Near Miss,1,0,0,0,0,0,0,22,263.3,Berawan,Alat Pelindung Diri Tidak Sesuai,Perbaikan Alat,Overdue,Worksh-Blok03,
458,2023-08-26,Saturday,8,Q3,2023,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-014,Dozing,Near Miss,1,0,0,0,0,0,0,43,479.5,Berawan,Prosedur Tidak Diikuti,Briefing Safety,Dalam Proses,Pit-B-Blok01,
459,2023-01-16,Monday,1,Q1,2023,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-014,Drilling,Lost Time Injury,0,0,0,1,0,11,0,8,87.8,Hujan Lebat,Kelelahan Pekerja,Briefing Safety,Overdue,Pit-C-Blok02,Menunggu spare part
460,2023-10-16,Monday,10,Q4,2023,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-016,Grading,Near Miss,1,0,0,0,0,0,0,37,379.7,Cerah,Kondisi Cuaca Buruk,Perbaikan Desain,Overdue,Pit-A-Blok01,Perlu tindak lanjut
461,2024-12-20,Friday,12,Q4,2024,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-016,Maintenance,Near Miss,1,0,0,0,0,0,0,31,357.9,Berawan,Housekeeping Buruk,Pelatihan Ulang,Overdue,Pit-A-Blok04,Menunggu spare part
462,2022-12-12,Monday,12,Q4,2022,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-014,Grading,Medical Treatment,0,0,1,0,0,0,0,35,393.1,Cerah,Kelelahan Pekerja,Perbaikan Desain,Belum Dimulai,Pit-A-Blok03,Menunggu spare part
463,2024-05-15,Wednesday,5,Q2,2024,Shift 2 (19:00-07:00),Drainase,SPV-020,Hauling,Medical Treatment,0,0,1,0,0,0,0,13,163.3,Hujan Ringan,Desain/Engineering,Revisi Prosedur,Belum Dimulai,Draina-Blok03,Perlu tindak lanjut
464,2022-09-25,Sunday,9,Q3,2022,Shift 2 (19:00-07:00),Drainase,SPV-009,Survei,Medical Treatment,0,0,1,0,0,0,0,43,442,Berawan,Housekeeping Buruk,Pelatihan Ulang,Dalam Proses,Draina-Blok03,
465,2024-11-04,Monday,11,Q4,2024,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-004,Administrasi,Near Miss,1,0,0,0,0,0,0,45,449.4,Berawan,Prosedur Tidak Diikuti,Penggantian APD,Selesai,Pit-C-Blok01,
466,2024-07-26,Friday,7,Q3,2024,Shift 2 (19:00-07:00),Stockpile,SPV-012,Blasting,First Aid,0,1,0,0,0,0,0,22,236.6,Cerah,Desain/Engineering,Revisi Prosedur,Selesai,Stockp-Blok05,
467,2022-06-28,Tuesday,6,Q2,2022,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-010,Dozing,First Aid,0,1,0,0,0,0,0,19,188.6,Cerah,Housekeeping Buruk,Investigasi Lanjut,Selesai,Pit-C-Blok04,Investigasi selesai
468,2024-06-01,Saturday,6,Q2,2024,Shift 1 (07:00-19:00),Workshop,SPV-001,Loading,First Aid,0,1,0,0,0,0,0,11,130.6,Cerah,Peralatan Rusak,Penggantian APD,Selesai,Worksh-Blok02,Investigasi selesai
469,2024-09-17,Tuesday,9,Q3,2024,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-018,Blasting,First Aid,0,1,0,0,0,0,0,13,127.5,Hujan Lebat,Peralatan Rusak,Briefing Safety,Belum Dimulai,Pit-B-Blok04,Menunggu spare part
470,2022-08-21,Sunday,8,Q3,2022,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-003,Dozing,First Aid,0,1,0,0,0,0,0,36,385.9,Berawan,Kondisi Cuaca Buruk,Perbaikan Desain,Overdue,Pit-B-Blok01,
471,2024-06-09,Sunday,6,Q2,2024,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-008,Drilling,First Aid,0,1,0,0,0,0,0,36,463,Hujan Ringan,Kelelahan Pekerja,Briefing Safety,Dalam Proses,Pit-B-Blok01,
472,2022-07-11,Monday,7,Q3,2022,Shift 1 (07:00-19:00),Drainase,SPV-008,Grading,First Aid,0,1,0,0,0,0,0,20,240.6,Berawan,Peralatan Rusak,Revisi Prosedur,Selesai,Draina-Blok01,
473,2024-06-12,Wednesday,6,Q2,2024,Shift 2 (19:00-07:00),Stockpile,SPV-003,Pengawasan,Property Damage,0,0,0,0,0,0,1,38,431.1,Cerah,Alat Pelindung Diri Tidak Sesuai,Perbaikan Alat,Selesai,Stockp-Blok02,Menunggu spare part
474,2023-03-24,Friday,3,Q1,2023,Shift 1 (07:00-19:00),Stockpile,SPV-019,Drilling,Near Miss,1,0,0,0,0,0,0,26,328.3,Cerah,Human Error,Briefing Safety,Dalam Proses,Stockp-Blok01,
475,2022-03-08,Tuesday,3,Q1,2022,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-015,Survei,First Aid,0,1,0,0,0,0,0,8,88,Cerah,Komunikasi Buruk,Perbaikan Desain,Selesai,Pit-A-Blok03,
476,2024-03-30,Saturday,3,Q1,2024,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-018,Blasting,Near Miss,1,0,0,0,0,0,0,9,91.8,Cerah,Peralatan Rusak,Perbaikan Alat,Dalam Proses,Pit-C-Blok02,
477,2023-09-23,Saturday,9,Q3,2023,Shift 1 (07:00-19:00),Drainase,SPV-008,Dozing,Near Miss,1,0,0,0,0,0,0,21,272.6,Berkabut,Human Error,Penggantian APD,Overdue,Draina-Blok02,Menunggu spare part
478,2023-04-12,Wednesday,4,Q2,2023,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-018,Blasting,Lost Time Injury,0,0,0,1,0,4,0,19,210.6,Berawan,Peralatan Rusak,Revisi Prosedur,Selesai,Pit-A-Blok05,Perlu tindak lanjut
479,2024-10-03,Thursday,10,Q4,2024,Shift 1 (07:00-19:00),Workshop,SPV-013,Maintenance,Near Miss,1,0,0,0,0,0,0,33,329.7,Cerah,Kondisi Cuaca Buruk,Pelatihan Ulang,Belum Dimulai,Worksh-Blok03,
480,2024-04-27,Saturday,4,Q2,2024,Shift 2 (19:00-07:00),Pit-C (Hauling),SPV-011,Fueling,Near Miss,1,0,0,0,0,0,0,36,403.2,Hujan Lebat,Alat Pelindung Diri Tidak Sesuai,Investigasi Lanjut,Belum Dimulai,Pit-C-Blok03,
481,2022-09-02,Friday,9,Q3,2022,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-008,Blasting,Medical Treatment,0,0,1,0,0,0,0,39,470.4,Berkabut,Housekeeping Buruk,Perbaikan Desain,Selesai,Pit-B-Blok04,Perlu tindak lanjut
482,2024-03-28,Thursday,3,Q1,2024,Shift 1 (07:00-19:00),Workshop,SPV-010,Administrasi,Medical Treatment,0,0,1,0,0,0,0,21,271.5,Cerah,Komunikasi Buruk,Penggantian APD,Selesai,Worksh-Blok01,
483,2022-08-06,Saturday,8,Q3,2022,Shift 2 (19:00-07:00),Drainase,SPV-002,Hauling,Near Miss,1,0,0,0,0,0,0,23,295.2,Hujan Ringan,Kondisi Cuaca Buruk,Perbaikan Alat,Selesai,Draina-Blok04,
484,2023-10-18,Wednesday,10,Q4,2023,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-006,Administrasi,Medical Treatment,0,0,1,0,0,0,0,45,553.4,Berkabut,Peralatan Rusak,Briefing Safety,Dalam Proses,Pit-B-Blok04,Perlu tindak lanjut
485,2022-02-16,Wednesday,2,Q1,2022,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-010,Maintenance,Medical Treatment,0,0,1,0,0,0,0,13,164.1,Cerah,Peralatan Rusak,Investigasi Lanjut,Dalam Proses,Pit-A-Blok02,Menunggu spare part
486,2022-05-11,Wednesday,5,Q2,2022,Shift 2 (19:00-07:00),Workshop,SPV-013,Loading,Environmental Spill,0,0,0,0,0,0,0,35,435.6,Hujan Lebat,Alat Pelindung Diri Tidak Sesuai,Perbaikan Alat,Selesai,Worksh-Blok01,Investigasi selesai
487,2023-12-05,Tuesday,12,Q4,2023,Shift 1 (07:00-19:00),Stockpile,SPV-011,Pumping,Medical Treatment,0,0,1,0,0,0,0,38,499.5,Berawan,Faktor Eksternal,Briefing Safety,Dalam Proses,Stockp-Blok01,
488,2024-09-30,Monday,9,Q3,2024,Shift 2 (19:00-07:00),Pit-A (Overburden),SPV-016,Grading,First Aid,0,1,0,0,0,0,0,33,411.3,Cerah,Housekeeping Buruk,Perbaikan Desain,Dalam Proses,Pit-A-Blok04,
489,2022-09-28,Wednesday,9,Q3,2022,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-018,Maintenance,First Aid,0,1,0,0,0,0,0,35,412.3,Cerah,Peralatan Rusak,Revisi Prosedur,Belum Dimulai,ROM (R-Blok05,Menunggu spare part
490,2022-07-31,Sunday,7,Q3,2022,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-016,Administrasi,Environmental Spill,0,0,0,0,0,0,0,36,356.5,Berawan,Human Error,Investigasi Lanjut,Selesai,Pit-B-Blok03,Menunggu spare part
491,2023-01-15,Sunday,1,Q1,2023,Shift 2 (19:00-07:00),Pit-B (Coal Getting),SPV-018,Hauling,Lost Time Injury,0,0,0,1,0,11,0,14,170.6,Hujan Ringan,Komunikasi Buruk,Revisi Prosedur,Overdue,Pit-B-Blok01,
492,2022-04-19,Tuesday,4,Q2,2022,Shift 1 (07:00-19:00),Pit-B (Coal Getting),SPV-007,Administrasi,Medical Treatment,0,0,1,0,0,0,0,14,160.9,Berawan,Kondisi Cuaca Buruk,Perbaikan Desain,Selesai,Pit-B-Blok01,
493,2023-03-25,Saturday,3,Q1,2023,Shift 1 (07:00-19:00),Stockpile,SPV-012,Pumping,Medical Treatment,0,0,1,0,0,0,0,16,188.6,Berkabut,Prosedur Tidak Diikuti,Revisi Prosedur,Selesai,Stockp-Blok05,
494,2023-10-23,Monday,10,Q4,2023,Shift 2 (19:00-07:00),Workshop,SPV-009,Pengawasan,First Aid,0,1,0,0,0,0,0,40,429.1,Berawan,Prosedur Tidak Diikuti,Perbaikan Alat,Selesai,Worksh-Blok01,
495,2023-11-24,Friday,11,Q4,2023,Shift 2 (19:00-07:00),Workshop,SPV-006,Survei,Medical Treatment,0,0,1,0,0,0,0,40,412.7,Hujan Lebat,Housekeeping Buruk,Briefing Safety,Selesai,Worksh-Blok03,Sudah dilaporkan ke HSE Manager
496,2022-11-15,Tuesday,11,Q4,2022,Shift 1 (07:00-19:00),Pit-A (Overburden),SPV-018,Blasting,Medical Treatment,0,0,1,0,0,0,0,12,135.8,Berkabut,Faktor Eksternal,Briefing Safety,Dalam Proses,Pit-A-Blok01,Sudah dilaporkan ke HSE Manager
497,2023-06-26,Monday,6,Q2,2023,Shift 1 (07:00-19:00),Stockpile,SPV-016,Loading,Medical Treatment,0,0,1,0,0,0,0,12,152,Berawan,Kelelahan Pekerja,Perbaikan Desain,Belum Dimulai,Stockp-Blok03,Investigasi selesai
498,2024-06-12,Wednesday,6,Q2,2024,Shift 1 (07:00-19:00),Stockpile,SPV-003,Blasting,Medical Treatment,0,0,1,0,0,0,0,32,344.7,Cerah,Kelelahan Pekerja,Pelatihan Ulang,Selesai,Stockp-Blok04,
499,2022-03-17,Thursday,3,Q1,2022,Shift 2 (19:00-07:00),ROM (Run of Mine),,Pumping,Medical Treatment,0,0,1,0,0,0,0,21,241.9,Cerah,Faktor Eksternal,Penggantian APD,Selesai,ROM (R-Blok05,
500,2022-05-14,Saturday,5,Q2,2022,Shift 1 (07:00-19:00),Office Area,SPV-003,Survei,Lost Time Injury,0,0,0,1,0,14,0,12,152.5,Berawan,Faktor Eksternal,Penggantian APD,Dalam Proses,Office-Blok05,Sudah dilaporkan ke HSE Manager
501,2024-11-30,Saturday,11,Q4,2024,Shift 1 (07:00-19:00),Drainase,SPV-017,Pengawasan,Medical Treatment,0,0,1,0,0,0,0,27,347,Cerah,Human Error,Perbaikan Alat,Selesai,Draina-Blok05,
502,2022-12-09,Friday,12,Q4,2022,Shift 1 (07:00-19:00),Drainase,SPV-018,Survei,Near Miss,1,0,0,0,0,0,0,16,178.5,Cerah,Human Error,Perbaikan Alat,Selesai,Draina-Blok04,
503,2022-07-09,Saturday,7,Q3,2022,Shift 2 (19:00-07:00),ROM (Run of Mine),SPV-003,Drilling,Near Miss,1,0,0,0,0,0,0,31,310.1,Berawan,Peralatan Rusak,Briefing Safety,Selesai,ROM (R-Blok03,Menunggu spare part
504,2024-03-25,Monday,3,Q1,2024,Shift 1 (07:00-19:00),Pit-C (Hauling),SPV-001,Survei,Lost Time Injury,0,0,0,1,0,11,0,20,224.3,Berawan,Kondisi Cuaca Buruk,Pelatihan Ulang,Dalam Proses,Pit-C-Blok02,Investigasi selesai
